year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1968,12,1,2,1,82,0.2969,0.1563
1968,12,1,2,2,65,-0.9254,-1.0819
1968,12,1,2,3,54,-1.5077,-1.6761
1968,12,1,3,1,66,-1.4469,-1.5248
1968,12,1,3,2,57,-0.2700,-0.3706
1968,12,1,3,3,93,-1.7516,-1.8764
1968,12,2,1,1,30,-1.2960,-1.5149
1968,12,2,1,2,49,-2.0341,-2.1364
1968,12,2,1,3,18,-2.3636,-2.3806
1968,12,2,2,1,46,-2.0398,-2.1974
1968,12,2,2,2,110,-3.7245,-3.9376
1968,12,2,2,3,50,-4.7951,-4.8545
1968,12,2,3,1,18,-5.0950,-5.2009
1968,12,2,3,2,60,-4.6807,-4.7885
1968,12,2,3,3,81,-5.1054,-5.1904
1969,1,1,1,1,151,-1.0349,-1.1215
1969,1,1,1,2,65,-2.2247,-2.3591
1969,1,1,1,3,63,0.1053,0.0300
1969,1,1,2,1,84,0.6314,0.4435
1969,1,1,2,2,63,-0.6645,-0.8637
1969,1,1,2,3,52,-2.0756,-2.1475
1969,1,1,3,1,65,-4.0510,-4.1128
1969,1,1,3,2,60,-3.4653,-3.5166
1969,1,1,3,3,90,-0.5973,-0.6746
1969,1,2,1,1,30,-1.5692,-2.0883
1969,1,2,1,2,48,-0.8923,-1.0940
1969,1,2,1,3,18,-0.8702,-0.8896
1969,1,2,2,1,49,-0.9345,-1.2405
1969,1,2,2,2,106,0.9569,0.8704
1969,1,2,2,3,51,-1.9079,-1.9606
1969,1,2,3,1,18,-1.2046,-1.2097
1969,1,2,3,2,62,-1.0464,-1.0945
1969,1,2,3,3,79,-3.0687,-3.1063
1969,2,1,1,1,144,-9.6361,-9.9120
1969,2,1,1,2,71,-7.7228,-8.0461
1969,2,1,1,3,62,-9.7862,-9.9318
1969,2,1,2,1,78,-8.3130,-8.5890
1969,2,1,2,2,65,-7.0303,-7.3327
1969,2,1,2,3,55,-7.3253,-7.4592
1969,2,1,3,1,64,-11.1802,-11.2725
1969,2,1,3,2,63,-10.4700,-10.6047
1969,2,1,3,3,86,-8.0231,-8.1408
1969,2,2,1,1,35,-2.6150,-3.3242
1969,2,2,1,2,48,-5.2754,-5.8947
1969,2,2,1,3,13,-4.8699,-5.7132
1969,2,2,2,1,50,-7.2589,-7.7851
1969,2,2,2,2,98,-4.2884,-4.8223
1969,2,2,2,3,59,-4.8007,-5.1088
1969,2,2,3,1,23,-6.6087,-7.2676
1969,2,2,3,2,56,-4.4805,-4.9869
1969,2,2,3,3,81,-4.3597,-4.5567
1969,3,1,1,1,141,0.5948,0.4016
1969,3,1,1,2,74,3.0965,2.8450
1969,3,1,1,3,64,4.8364,4.5489
1969,3,1,2,1,77,2.4236,2.2815
1969,3,1,2,2,68,2.0438,1.8876
1969,3,1,2,3,53,3.8869,3.7289
1969,3,1,3,1,68,0.5351,0.4139
1969,3,1,3,2,61,3.8561,3.7393
1969,3,1,3,3,89,3.4467,3.3017
1969,3,2,1,1,34,3.7251,3.6989
1969,3,2,1,2,48,2.8406,2.7207
1969,3,2,1,3,14,2.5196,2.3866
1969,3,2,2,1,56,2.0026,1.8129
1969,3,2,2,2,91,5.1538,4.9568
1969,3,2,2,3,61,3.8552,3.7311
1969,3,2,3,1,23,1.3397,1.2062
1969,3,2,3,2,60,2.6249,2.5318
1969,3,2,3,3,77,3.2843,3.1905
1969,4,1,1,1,139,-0.6154,-0.7906
1969,4,1,1,2,78,2.6083,2.4774
1969,4,1,1,3,62,1.7639,1.6566
1969,4,1,2,1,76,2.5260,2.3097
1969,4,1,2,2,63,0.7736,0.6050
1969,4,1,2,3,59,1.5245,1.4190
1969,4,1,3,1,67,-1.6593,-1.7715
1969,4,1,3,2,64,-0.1949,-0.2672
1969,4,1,3,3,85,1.0562,0.9304
1969,4,2,1,1,35,-0.3128,-0.4939
1969,4,2,1,2,47,1.3940,1.1957
1969,4,2,1,3,14,0.0690,0.0494
1969,4,2,2,1,56,1.8133,1.6454
1969,4,2,2,2,90,1.2466,1.0896
1969,4,2,2,3,60,2.6146,2.4789
1969,4,2,3,1,24,-2.2728,-2.3217
1969,4,2,3,2,62,0.6734,0.6446
1969,4,2,3,3,74,4.1191,4.0677
1969,5,1,1,1,149,1.1246,0.8225
1969,5,1,1,2,89,1.5936,1.3860
1969,5,1,1,3,70,-0.2924,-0.5255
1969,5,1,2,1,84,3.0548,2.7428
1969,5,1,2,2,70,0.7815,0.4960
1969,5,1,2,3,61,-0.0462,-0.2573
1969,5,1,3,1,85,-1.5049,-1.6435
1969,5,1,3,2,68,-0.4238,-0.6011
1969,5,1,3,3,82,0.6645,0.5702
1969,5,2,1,1,35,2.2331,1.5891
1969,5,2,1,2,44,-2.4759,-3.0053
1969,5,2,1,3,27,1.3164,-0.7088
1969,5,2,2,1,58,0.3035,-0.1317
1969,5,2,2,2,98,1.5278,1.0748
1969,5,2,2,3,55,2.5242,2.2532
1969,5,2,3,1,40,-1.7246,-2.2249
1969,5,2,3,2,57,-0.7409,-1.3266
1969,5,2,3,3,71,-1.1672,-1.3780
1969,6,1,1,1,156,-12.3568,-12.5745
1969,6,1,1,2,81,-10.3127,-10.5802
1969,6,1,1,3,69,-13.6241,-13.7920
1969,6,1,2,1,87,-10.4901,-10.6338
1969,6,1,2,2,71,-10.2390,-10.3992
1969,6,1,2,3,57,-8.9437,-9.1433
1969,6,1,3,1,81,-14.4945,-14.5786
1969,6,1,3,2,77,-12.5043,-12.6385
1969,6,1,3,3,74,-11.2833,-11.4268
1969,6,2,1,1,34,-10.0445,-10.2097
1969,6,2,1,2,45,-7.9718,-8.0683
1969,6,2,1,3,28,-5.4272,-5.4604
1969,6,2,2,1,56,-8.5348,-8.7610
1969,6,2,2,2,99,-7.2193,-7.4205
1969,6,2,2,3,56,-4.5749,-4.7399
1969,6,2,3,1,42,-9.1469,-9.2430
1969,6,2,3,2,55,-7.7595,-7.8632
1969,6,2,3,3,72,-1.0198,-1.1019
1969,7,1,1,1,155,-9.4114,-9.5387
1969,7,1,1,2,71,-6.3664,-6.6530
1969,7,1,1,3,49,-9.7446,-9.9960
1969,7,1,2,1,93,-9.7966,-9.8693
1969,7,1,2,2,91,-8.9816,-9.2592
1969,7,1,2,3,64,-8.8781,-9.0122
1969,7,1,3,1,107,-13.8665,-13.9586
1969,7,1,3,2,82,-10.6255,-10.7533
1969,7,1,3,3,109,-9.3853,-9.4441
1969,7,2,1,1,56,-6.1596,-6.2446
1969,7,2,1,2,56,-6.5919,-6.8401
1969,7,2,1,3,21,-6.5727,-6.5779
1969,7,2,2,1,50,-7.0155,-7.2959
1969,7,2,2,2,111,-6.4083,-6.6126
1969,7,2,2,3,75,-4.8360,-4.9629
1969,7,2,3,1,24,-10.6551,-10.7087
1969,7,2,3,2,43,-7.8482,-7.9143
1969,7,2,3,3,75,-4.9296,-4.9372
1969,8,1,1,1,151,4.8258,4.4305
1969,8,1,1,2,66,3.6404,3.0495
1969,8,1,1,3,44,3.9242,3.4147
1969,8,1,2,1,89,4.7876,4.4551
1969,8,1,2,2,98,4.4217,4.0519
1969,8,1,2,3,49,5.3984,5.0893
1969,8,1,3,1,100,7.8630,7.6754
1969,8,1,3,2,85,6.1254,5.8457
1969,8,1,3,3,100,7.9886,7.8824
1969,8,2,1,1,46,4.5615,3.8858
1969,8,2,1,2,56,4.0832,3.4873
1969,8,2,1,3,29,1.2243,0.1840
1969,8,2,2,1,49,4.4462,3.8250
1969,8,2,2,2,103,4.1926,3.6014
1969,8,2,2,3,78,5.5022,5.2030
1969,8,2,3,1,22,2.7140,2.3754
1969,8,2,3,2,53,5.9745,5.6419
1969,8,2,3,3,58,7.3351,7.0417
1969,9,1,1,1,145,-1.2301,-1.3616
1969,9,1,1,2,74,-0.3454,-0.4636
1969,9,1,1,3,42,-2.7587,-3.0207
1969,9,1,2,1,84,-2.4561,-2.6848
1969,9,1,2,2,102,-0.8903,-1.0502
1969,9,1,2,3,52,0.6580,0.5079
